Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State, 11-9061,Funeral Service Managers,410,$134320,$100700,$65640,$168660
1,36,New York State, 11-9071,Gaming Managers,n/a,$72710,$66630,$51740,$83190
1,36,New York State, 11-9081,Lodging Managers,520,$78230,$66510,$47640,$93530
1,36,New York State, 11-9111,Medical and Health Services Managers,27840,$123620,$110070,$76020,$147430
1,36,New York State, 11-9121,Natural Sciences Managers,1910,$132070,$117120,$77140,$159540
1,36,New York State, 11-9131,Postmasters and Mail Superintendents,1100,$69890,$68910,$55020,$77330
1,36,New York State, 11-9141,"Property, Real Estate, and Community Association Managers",5860,$104750,$84080,$57940,$128160
1,36,New York State, 11-9151,Social and Community Service Managers,10640,$83660,$80830,$56250,$97370
1,36,New York State, 11-9161,Emergency Management Directors,570,$83430,$76490,$56180,$97050
1,36,New York State, 11-9199,"Managers, All Other",15790,$127300,$111630,$69060,$156420
1,36,New York State, 13-0000,Business and Financial Operations Occupations,481230,$88460,$75450,$47100,$109140
1,36,New York State, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2370,$106920,$76310,$44480,$138150
1,36,New York State, 13-1021,"Buyers and Purchasing Agents, Farm Products",n/a,$65120,$52930,$40680,$77330
1,36,New York State, 13-1022,"Wholesale and Retail Buyers, Except Farm Products",8520,$69460,$61260,$39100,$84630
1,36,New York State, 13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",16240,$66940,$62820,$43530,$78640
1,36,New York State, 13-1031,"Claims Adjusters, Examiners, and Investigators",20860,$68750,$66310,$44860,$80690
1,36,New York State, 13-1032,"Insurance Appraisers, Auto Damage",850,$67270,$65530,$51120,$75350
1,36,New York State, 13-1041,Compliance Officers,17850,$76770,$72290,$48780,$90770
1,36,New York State, 13-1051,Cost Estimators,10010,$75350,$68140,$43880,$91080
1,36,New York State, 13-1071,Human Resources Specialists,29000,$70810,$64440,$43780,$84320
1,36,New York State, 13-1075,Labor Relations Specialists,8490,$76780,$66610,$46740,$91790
1,36,New York State, 13-1081,Logisticians,2580,$72970,$69830,$49390,$84760
1,36,New York State, 13-1111,Management Analysts,41140,$103850,$88940,$54270,$128640
1,36,New York State, 13-1121,"Meeting, Convention, and Event Planners",7730,$62840,$57130,$35150,$76690
1,36,New York State, 13-1131,Fundraisers,5460,$61310,$58580,$37510,$73210
1,36,New York State, 13-1141,"Compensation, Benefits, and Job Analysis Specialists",10280,$69820,$68620,$47550,$80950
1,36,New York State, 13-1151,Training and Development Specialists,15820,$66320,$62210,$37120,$80920
1,36,New York State, 13-1161,Market Research Analysts and Marketing Specialists,43550,$74900,$70190,$43710,$90490
1,36,New York State, 13-1199,"Business Operations Specialists, All Other",23790,$87820,$75160,$47880,$107790
1,36,New York State, 13-2011,Accountants and Auditors,97620,$91110,$79130,$51950,$110690
1,36,New York State, 13-2021,Appraisers and Assessors of Real Estate,3780,$61110,$54690,$36770,$73280
1,36,New York State, 13-2031,Budget Analysts,2900,$76810,$73570,$54100,$88170
1,36,New York State, 13-2041,Credit Analysts,6000,$115800,$98480,$58600,$144400
1,36,New York State, 13-2051,Financial Analysts,37340,$120890,$97520,$63360,$149660
1,36,New York State, 13-2052,Personal Financial Advisors,26820,$137900,$115220,$60000,$176850
1,36,New York State, 13-2053,Insurance Underwriters,6880,$89320,$79710,$51640,$108160
1,36,New York State, 13-2061,Financial Examiners,3110,$114550,$100520,$64860,$139400
1,36,New York State, 13-2071,Credit Counselors,1310,$58890,$52680,$38500,$69090
1,36,New York State, 13-2072,Loan Officers,13140,$97820,$79980,$43910,$124770
1,36,New York State, 13-2081,"Tax Examiners and Collectors, and Revenue Agents",5600,$65870,$60260,$44610,$76510
1,36,New York State, 13-2082,Tax Preparers,4610,$64790,$60550,$31670,$81350
1,36,New York State, 13-2099,"Financial Specialists, All Other",7390,$87790,$79010,$49180,$107090
1,36,New York State, 15-0000,Computer and Mathematical Occupations,223570,$90360,$83500,$50890,$110090
1,36,New York State, 15-1121,Computer Systems Analysts,33680,$94280,$87910,$57480,$112680
1,36,New York State, 15-1122,Information Security Analysts,4760,$113540,$109790,$71840,$134390
1,36,New York State, 15-1131,Computer Programmers,20020,$87150,$81460,$53630,$103910
1,36,New York State, 15-1132,"Software Developers, Applications",44050,$108520,$103180,$68800,$128380
1,36,New York State, 15-1133,"Software Developers, Systems Software",16300,$105560,$100350,$66510,$125080
1,36,New York State, 15-1134,Web Developers,8960,$76230,$69760,$43830,$92430
1,36,New York State, 15-1141,Database Administrators,6670,$85740,$82880,$50380,$103410
1,36,New York State, 15-1142,Network and Computer Systems Administrators,23180,$87940,$82960,$56210,$103800
1,36,New York State, 15-1143,Computer Network Architects,6740,$113800,$110890,$69220,$136090
1,36,New York State, 15-1151,Computer User Support Specialists,36230,$56150,$52780,$35210,$66610
1,36,New York State, 15-1152,Computer Network Support Specialists,8890,$77200,$72710,$44500,$93560
1,36,New York State, 15-1199,"Computer Occupations, All Other",3960,$88110,$84280,$54710,$104800
1,36,New York State, 15-2011,Actuaries,2660,$137520,$121530,$72450,$170050
1,36,New York State, 15-2021,Mathematicians,n/a,$89890,$86500,$72310,$98680
1,36,New York State, 15-2031,Operations Research Analysts,5230,$101920,$82260,$52190,$126790
1,36,New York State, 15-2041,Statisticians,1280,$78680,$75080,$53460,$91290
1,36,New York State, 15-2099,"Mathematical Science Occupations, All Other",n/a,$87880,$71740,$41800,$110920
1,36,New York State, 17-0000,Architecture and Engineering Occupations,106450,$80680,$75960,$49100,$96470
1,36,New York State, 17-1011,"Architects, Except Landscape and Naval",11070,$84930,$77080,$55090,$99840
1,36,New York State, 17-1012,Landscape Architects,1100,$70160,$66280,$50280,$80090
1,36,New York State, 17-1021,Cartographers and Photogrammetrists,n/a,$69320,$64910,$53380,$77290
1,36,New York State, 17-1022,Surveyors,1310,$70670,$69690,$44430,$83790
1,36,New York State, 17-2011,Aerospace Engineers,600,$111960,$112530,$76940,$129480
1,36,New York State, 17-2031,Biomedical Engineers,580,$92830,$87200,$57480,$110510
1,36,New York State, 17-2041,Chemical Engineers,1280,$95880,$94100,$59650,$114000
1,36,New York State, 17-2051,Civil Engineers,13620,$92630,$86290,$63700,$107100
1,36,New York State, 17-2061,Computer Hardware Engineers,1320,$104870,$101820,$73740,$120440
1,36,New York State, 17-2071,Electrical Engineers,11110,$98030,$94520,$68770,$112650
1,36,New York State, 17-2072,"Electronics Engineers, Except Computer",3980,$98030,$96890,$61750,$116160
1,36,New York State, 17-2081,Environmental Engineers,3180,$88870,$86560,$63290,$101660
1,36,New York State, 17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1470,$87260,$85100,$62340,$99720
1,36,New York State, 17-2112,Industrial Engineers,8470,$85040,$81690,$59740,$97690
1,36,New York State, 17-2121,Marine Engineers and Naval Architects,n/a,$90600,$92750,$73910,$98950
1,36,New York State, 17-2131,Materials Engineers,1560,$89860,$87540,$63980,$102790
1,36,New York State, 17-2141,Mechanical Engineers,10250,$86080,$82140,$59460,$99390
1,36,New York State, 17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",n/a,$93630,$95850,$64700,$108100
1,36,New York State, 17-2161,Nuclear Engineers,680,$119830,$115680,$78340,$140580
1,36,New York State, 17-2199,"Engineers, All Other",2680,$97530,$93050,$61020,$115780
1,36,New York State, 17-3011,Architectural and Civil Drafters,5950,$55250,$54760,$37840,$63960
1,36,New York State, 17-3012,Electrical and Electronics Drafters,1960,$68620,$67220,$46330,$79780
1,36,New York State, 17-3013,Mechanical Drafters,3340,$55100,$51010,$36920,$64180
1,36,New York State, 17-3019,"Drafters, All Other",730,$61530,$61510,$36200,$74200
1,36,New York State, 17-3022,Civil Engineering Technicians,2020,$54410,$54860,$33470,$64880
1,36,New York State, 17-3023,Electrical and Electronic Engineering Technicians,6220,$62270,$62290,$41900,$72460
1,36,New York State, 17-3024,Electro-Mechanical Technicians,390,$56060,$52250,$36080,$66050
1,36,New York State, 17-3025,Environmental Engineering Technicians,1280,$49310,$46130,$30590,$58670
1,36,New York State, 17-3026,Industrial Engineering Technicians,3290,$55380,$54350,$37460,$64350
1,36,New York State, 17-3027,Mechanical Engineering Technicians,1730,$58200,$55420,$39090,$67750
1,36,New York State, 17-3029,"Engineering Technicians, Except Drafters, All Other",2140,$58160,$56260,$41730,$66380
1,36,New York State, 17-3031,Surveying and Mapping Technicians,1870,$45000,$42590,$31260,$51860
1,36,New York State, 19-0000,"Life, Physical, and Social Science Occupations",67690,$69710,$61520,$35450,$86840
1,36,New York State, 19-1011,Animal Scientists,n/a,$61730,$58390,$46650,$69270
1,36,New York State, 19-1012,Food Scientists and Technologists,460,$65150,$58520,$38580,$78440
1,36,New York State, 19-1013,Soil and Plant Scientists,n/a,$70600,$60190,$44950,$83430
1,36,New York State, 19-1021,Biochemists and Biophysicists,2260,$74370,$65330,$44550,$89280
1,36,New York State, 19-1022,Microbiologists,1740,$74850,$62260,$44720,$89910
1,36,New York State, 19-1023,Zoologists and Wildlife Biologists,400,$68300,$66790,$50520,$77200
1,36,New York State, 19-1029,"Biological Scientists, All Other",680,$73910,$76420,$48180,$86780
1,36,New York State, 19-1031,Conservation Scientists,390,$69400,$67370,$47710,$80240
1,36,New York State, 19-1032,Foresters,n/a,$59240,$59120,$42710,$67500
1,36,New York State, 19-1041,Epidemiologists,n/a,$79110,$71520,$54880,$91220
1,36,New York State, 19-1042,"Medical Scientists, Except Epidemiologists",8250,$90110,$73770,$48240,$111050
1,36,New York State, 19-1099,"Life Scientists, All Other",n/a,$72790,$68490,$51350,$83510
1,36,New York State, 19-2012,Physicists,1140,$116440,$108460,$61880,$143730
1,36,New York State, 19-2021,Atmospheric and Space Scientists,490,$84860,$84570,$47580,$103500
1,36,New York State, 19-2031,Chemists,3930,$75780,$70830,$46620,$90370
1,36,New York State, 19-2032,Materials Scientists,460,$99330,$89640,$50710,$123640
1,36,New York State, 19-2041,"Environmental Scientists and Specialists, Including Health",2740,$75480,$71630,$47020,$89710
1,36,New York State, 19-2042,"Geoscientists, Except Hydrologists and Geographers",1090,$74260,$70390,$51040,$85880
1,36,New York State, 19-2043,Hydrologists,n/a,$88080,$76770,$56370,$103930
1,36,New York State, 19-2099,"Physical Scientists, All Other",1000,$93920,$91610,$63620,$109070
1,36,New York State, 19-3011,Economists,620,$119770,$103280,$65500,$146900
1,36,New York State, 19-3022,Survey Researchers,660,$64230,$66630,$34380,$79160
1,36,New York State, 19-3031,"Clinical, Counseling, and School Psychologists",10600,$86310,$82870,$54280,$102330
1,36,New York State, 19-3032,Industrial-Organizational Psychologists,n/a,$87550,$75380,$71060,$95790
1,36,New York State, 19-3039,"Psychologists, All Other",590,$100090,$94470,$48010,$126130
1,36,New York State, 19-3041,Sociologists,430,$76970,$71820,$48320,$91290
1,36,New York State, 19-3051,Urban and Regional Planners,1410,$70020,$68720,$48490,$80790
1,36,New York State, 19-3091,Anthropologists and Archeologists,n/a,$73650,$66630,$48760,$86090
1,36,New York State, 19-3092,Geographers,n/a,$85360,$92740,$57230,$99420
1,36,New York State, 19-3093,Historians,460,$34290,$29390,$27200,$37830
1,36,New York State, 19-3094,Political Scientists,n/a,$115240,$119680,$61180,$142270
1,36,New York State, 19-3099,"Social Scientists and Related Workers, All Other",2100,$84160,$81120,$57040,$97710
1,36,New York State, 19-4011,Agricultural and Food Science Technicians,720,$52510,$48400,$36700,$60420
1,36,New York State, 19-4021,Biological Technicians,3320,$41440,$40440,$28920,$47710
1,36,New York State, 19-4031,Chemical Technicians,3370,$49340,$46840,$30860,$58580
1,36,New York State, 19-4041,Geological and Petroleum Technicians,n/a,$54850,$45910,$36890,$63830
1,36,New York State, 19-4051,Nuclear Technicians,440,$86230,$78230,$55740,$101470
1,36,New York State, 19-4061,Social Science Research Assistants,7170,$40040,$34420,$18300,$50910
1,36,New York State, 19-4091,"Environmental Science and Protection Technicians, Including Health",2570,$48930,$46300,$32310,$57250
1,36,New York State, 19-4092,Forensic Science Technicians,600,$63890,$62980,$47880,$71890
1,36,New York State, 19-4093,Forest and Conservation Technicians,n/a,$48510,$46700,$38290,$53620
1,36,New York State, 19-4099,"Life, Physical, and Social Science Technicians, All Other",5670,$45720,$44220,$27340,$54910
1,36,New York State, 21-0000,Community and Social Services Occupations,166570,$50820,$46660,$30150,$61160
1,36,New York State, 21-1011,Substance Abuse and Behavioral Disorder Counselors,8220,$46660,$45170,$31400,$54290
1,36,New York State, 21-1012,"Educational, Guidance, School, and Vocational Counselors",20180,$65720,$61820,$37940,$79620
1,36,New York State, 21-1013,Marriage and Family Therapists,700,$47770,$46850,$32290,$55500
1,36,New York State, 21-1014,Mental Health Counselors,5690,$42280,$39090,$28810,$49020
1,36,New York State, 21-1015,Rehabilitation Counselors,8670,$36990,$34220,$25630,$42680
1,36,New York State, 21-1019,"Counselors, All Other",1380,$49640,$44290,$31050,$58930
1,36,New York State, 21-1021,"Child, Family, and School Social Workers",22690,$56620,$52310,$36480,$66680
1,36,New York State, 21-1022,Healthcare Social Workers,11540,$59780,$58390,$39860,$69740
1,36,New York State, 21-1023,Mental Health and Substance Abuse Social Workers,10770,$54850,$50860,$37210,$63670
1,36,New York State, 21-1029,"Social Workers, All Other",9500,$60770,$59660,$45320,$68490
1,36,New York State, 21-1091,Health Educators,4680,$50500,$47230,$30970,$60260
1,36,New York State, 21-1092,Probation Officers and Correctional Treatment Specialists,4370,$67200,$67770,$51900,$74840
1,36,New York State, 21-1093,Social and Human Service Assistants,30180,$35860,$34820,$24380,$41610
1,36,New York State, 21-1094,Community Health Workers,2900,$41980,$36730,$25610,$50170
1,36,New York State, 21-1099,"Community and Social Service Specialists, All Other",12610,$50570,$47020,$37290,$57220
1,36,New York State, 21-2011,Clergy,8760,$49370,$43680,$25260,$61420
1,36,New York State, 21-2021,"Directors, Religious Activities and Education",2880,$42130,$36410,$19290,$53550
1,36,New York State, 21-2099,"Religious Workers, All Other",860,$28780,$27570,$18670,$33830
1,36,New York State, 23-0000,Legal Occupations,104370,$127550,$101150,$52530,$165050
1,36,New York State, 23-1011,Lawyers,71150,$156500,$137680,$73890,
1,36,New York State, 23-1012,Judicial Law Clerks,720,$112680,$123040,$67740,$135140
1,36,New York State, 23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1340,$93100,$90000,$74280,$102510
1,36,New York State, 23-1022,"Arbitrators, Mediators, and Conciliators",560,$78140,$76580,$48500,$92960
1,36,New York State, 23-1023,"Judges, Magistrate Judges, and Magistrates",n/a,$137470,$139620,$118570,$146930
1,36,New York State, 23-2011,Paralegals and Legal Assistants,22660,$56990,$52240,$37160,$66900
1,36,New York State, 23-2091,Court Reporters,1270,$89650,$99130,$51990,$108480
1,36,New York State, 23-2093,"Title Examiners, Abstractors, and Searchers",2340,$48310,$46840,$36380,$54270
1,36,New York State, 23-2099,"Legal Support Workers, All Other",2290,$56280,$53270,$36120,$66350
1,36,New York State, 25-0000,"Education, Training, and Library Occupations",664400,$63700,$55410,$27710,$81690
1,36,New York State, 25-1011,"Business Teachers, Postsecondary",8880,$98080,$76410,$42490,$125880
1,36,New York State, 25-1021,"Computer Science Teachers, Postsecondary",3170,$97290,$85710,$46080,$122900
1,36,New York State, 25-1022,"Mathematical Science Teachers, Postsecondary",5080,$90440,$78550,$45310,$113000
1,36,New York State, 25-1031,"Architecture Teachers, Postsecondary",1020,$112520,$90120,$48200,$144690
1,36,New York State, 25-1032,"Engineering Teachers, Postsecondary",3410,$107680,$97870,$57550,$132740
1,36,New York State, 25-1041,"Agricultural Sciences Teachers, Postsecondary",400,$106090,$101940,$57180,$130550
1,36,New York State, 25-1042,"Biological Science Teachers, Postsecondary",4180,$96560,$82410,$50560,$119560
1,36,New York State, 25-1043,"Forestry and Conservation Science Teachers, Postsecondary",n/a,$63030,$56090,$38490,$75300
1,36,New York State, 25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",820,$100510,$86930,$50300,$125610
1,36,New York State, 25-1052,"Chemistry Teachers, Postsecondary",2740,$96210,$86250,$53630,$117500
1,36,New York State, 25-1053,"Environmental Science Teachers, Postsecondary",650,$89000,$75570,$51280,$107850
1,36,New York State, 25-1054,"Physics Teachers, Postsecondary",1660,$105640,$92980,$55710,$130610
1,36,New York State, 25-1061,"Anthropology and Archeology Teachers, Postsecondary",900,$92430,$84800,$49680,$113810
1,36,New York State, 25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1320,$92260,$79170,$48480,$114150
1,36,New York State, 25-1063,"Economics Teachers, Postsecondary",1610,$119180,$110950,$58970,$149280
1,36,New York State, 25-1064,"Geography Teachers, Postsecondary",310,$84690,$78670,$50830,$101620
1,36,New York State, 25-1065,"Political Science Teachers, Postsecondary",1720,$91700,$82330,$42250,$116430
1,36,New York State, 25-1066,"Psychology Teachers, Postsecondary",3530,$86400,$74980,$46690,$106250
1,36,New York State, 25-1067,"Sociology Teachers, Postsecondary",1770,$86040,$78530,$45560,$106270
1,36,New York State, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",2040,$93050,$77100,$44770,$117190
1,36,New York State, 25-1071,"Health Specialties Teachers, Postsecondary",16360,$120890,$99960,$55940,$153370
1,36,New York State, 25-1072,"Nursing Instructors and Teachers, Postsecondary",3920,$79480,$72170,$43390,$97530
1,36,New York State, 25-1081,"Education Teachers, Postsecondary",5750,$76250,$62800,$40730,$94010
1,36,New York State, 25-1082,"Library Science Teachers, Postsecondary",470,$82430,$76260,$50320,$98490
1,36,New York State, 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1580,$67730,$60840,$36690,$83250
1,36,New York State, 25-1112,"Law Teachers, Postsecondary",2280,$138820,$111910,$47360,$184550
1,36,New York State, 25-1113,"Social Work Teachers, Postsecondary",1210,$71440,$58680,$34030,$90150
1,36,New York State, 25-1121,"Art, Drama, and Music Teachers, Postsecondary",11130,$113520,$85000,$44660,$147960
1,36,New York State, 25-1122,"Communications Teachers, Postsecondary",2660,$78440,$67880,$40230,$97540
10,1,Capital Region, 31-9097,Phlebotomists,210,$34670,$32700,$27590,$38210
1,36,New York State, 25-1123,"English Language and Literature Teachers, Postsecondary",8210,$90930,$75410,$45630,$113580
1,36,New York State, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",3400,$84020,$68320,$42560,$104750
1,36,New York State, 25-1125,"History Teachers, Postsecondary",2340,$89540,$77550,$46180,$111220
1,36,New York State, 25-1126,"Philosophy and Religion Teachers, Postsecondary",3060,$78850,$65510,$43430,$96550
1,36,New York State, 25-1191,Graduate Teaching Assistants,7110,$38210,$39800,$25650,$44500
1,36,New York State, 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1450,$70400,$60930,$39350,$85930
1,36,New York State, 25-1194,"Vocational Education Teachers, Postsecondary",5770,$66870,$63020,$40100,$80260
1,36,New York State, 25-1199,"Postsecondary Teachers, All Other",9970,$84570,$71540,$40380,$106660
1,36,New York State, 25-2011,"Preschool Teachers, Except Special Education",31210,$42780,$34470,$22860,$52740
1,36,New York State, 25-2012,"Kindergarten Teachers, Except Special Education",6920,$67930,$60970,$38820,$82480
1,36,New York State, 25-2021,"Elementary School Teachers, Except Special Education",73280,$75870,$74400,$48510,$89550
1,36,New York State, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",39220,$76530,$73910,$50380,$89600
1,36,New York State, 25-2023,"Career/Technical  Education Teachers, Middle School",1760,$73330,$69190,$48690,$85650
1,36,New York State, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",67320,$77750,$75330,$50690,$91280
1,36,New York State, 25-2032,"Career/Technical Education Teachers, Secondary School",4160,$73150,$69780,$49110,$85170
1,36,New York State, 25-2051,"Special Education Teachers, Preschool",5050,$63150,$55460,$35630,$76910
1,36,New York State, 25-2052,"Special Education Teachers, Kindergarten and Elementary School",21540,$70590,$66420,$47520,$82120
1,36,New York State, 25-2053,"Special Education Teachers, Middle School",11600,$75870,$72030,$52570,$87520
1,36,New York State, 25-2054,"Special Education Teachers, Secondary School",19000,$77830,$74390,$52300,$90600
1,36,New York State, 25-2059,"Special Education Teachers, All Other",630,$74740,$71120,$43590,$90310
1,36,New York State, 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,5830,$64060,$59920,$36690,$77750
1,36,New York State, 25-3021,Self-Enrichment Education Teachers,29840,$50840,$44200,$24790,$63870
1,36,New York State, 25-3098,Substitute teachers,47490,$36340,$31330,$24520,$42250
1,36,New York State, 25-4011,Archivists,580,$56030,$55030,$35200,$66440
1,36,New York State, 25-4012,Curators,1510,$71570,$60950,$36720,$88990
1,36,New York State, 25-4013,Museum Technicians and Conservators,960,$56470,$52220,$34490,$67460
1,36,New York State, 25-4021,Librarians,11160,$66960,$63180,$46120,$77370
1,36,New York State, 25-4031,Library Technicians,6780,$33310,$30740,$19410,$40260
1,36,New York State, 25-9011,Audio-Visual and Multimedia Collections Specialists,700,$48090,$47090,$29530,$57370
1,36,New York State, 25-9021,Farm and Home Management Advisors,n/a,$36990,$36960,$32690,$39140
1,36,New York State, 25-9031,Instructional Coordinators,9320,$67220,$61710,$42340,$79660
1,36,New York State, 25-9041,Teacher Assistants,118970,$28160,$26880,$19720,$32390
1,36,New York State, 25-9099,"Education, Training, and Library Workers, All Other",2040,$43470,$39760,$25050,$52680
1,36,New York State, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",198880,$75140,$60550,$32090,$96660
1,36,New York State, 27-1011,Art Directors,7180,$126650,$115670,$70110,$154930
1,36,New York State, 27-1012,Craft Artists,330,$44320,$34550,$22840,$55060
1,36,New York State, 27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",840,$77000,$72810,$33970,$98510
1,36,New York State, 27-1014,Multimedia Artists and Animators,2510,$71640,$65110,$43790,$85570
1,36,New York State, 27-1019,"Artists and Related Workers, All Other",420,$65060,$60580,$30630,$82270
1,36,New York State, 27-1021,Commercial and Industrial Designers,2530,$73840,$69800,$48060,$86730
1,36,New York State, 27-1022,Fashion Designers,7190,$82020,$69390,$42630,$101720
1,36,New York State, 27-1023,Floral Designers,2790,$29100,$27200,$19330,$33990
1,36,New York State, 27-1024,Graphic Designers,18460,$61400,$56570,$35620,$74290
1,36,New York State, 27-1025,Interior Designers,3380,$64520,$60090,$36550,$78500
1,36,New York State, 27-1026,Merchandise Displayers and Window Trimmers,5750,$34530,$30770,$20420,$41580
1,36,New York State, 27-1029,"Designers, All Other",600,$63880,$56180,$29190,$81220
1,36,New York State, 27-2011,Actors *,n/a,$47,$26,$13,$64
1,36,New York State, 27-2012,Producers and Directors,19980,$113800,$96450,$48000,$146710
1,36,New York State, 27-2021,Athletes and Sports Competitors,n/a,$79540,$47630,$32180,$103230
1,36,New York State, 27-2022,Coaches and Scouts,11640,$43910,$36260,$23320,$54200
1,36,New York State, 27-2031,Dancers *,1350,$21,$20,$10,$27
1,36,New York State, 27-2032,Choreographers,n/a,$78960,$79960,$38130,$99380
1,36,New York State, 27-2041,Music Directors and Composers,3480,$68090,$54370,$28680,$87790
1,36,New York State, 27-2042,Musicians and Singers *,6820,$38,$30,$12,$52
1,36,New York State, 27-2099,"Entertainers and Performers, Sports and Related Workers, All Other *",530,$42,$27,$13,$57
1,36,New York State, 27-3012,Public Address System and Other Announcers,620,$39700,$34740,$23510,$47800
1,36,New York State, 27-3021,Broadcast News Analysts,390,$81200,$56140,$33180,$105210
1,36,New York State, 27-3022,Reporters and Correspondents,3720,$64330,$46380,$27970,$82520
1,36,New York State, 27-3031,Public Relations Specialists,24540,$68640,$60740,$37230,$84350
1,36,New York State, 27-3041,Editors,20500,$81780,$69950,$40700,$102330
1,36,New York State, 27-3042,Technical Writers,1930,$77640,$75290,$47000,$92960
1,36,New York State, 27-3043,Writers and Authors,6710,$82480,$71970,$42240,$102610
1,36,New York State, 27-3091,Interpreters and Translators,3430,$56620,$55480,$28010,$70920
1,36,New York State, 27-3099,"Media and Communication Workers, All Other",1140,$62360,$57210,$34180,$76460
1,36,New York State, 27-4011,Audio and Video Equipment Technicians,6370,$58900,$55360,$34270,$71220
1,36,New York State, 27-4012,Broadcast Technicians,2730,$54720,$53970,$28120,$68030
1,36,New York State, 27-4013,Radio Operators,n/a,$63140,$64690,$49060,$70180
1,36,New York State, 27-4014,Sound Engineering Technicians,2340,$73970,$62410,$32260,$94830
1,36,New York State, 27-4021,Photographers,4300,$54780,$46300,$22100,$71130
1,36,New York State, 27-4031,"Camera Operators, Television, Video, and Motion Picture",1760,$81260,$60120,$37680,$103040
1,36,New York State, 27-4032,Film and Video Editors,3880,$75010,$68230,$32080,$96480
1,36,New York State, 27-4099,"Media and Communication Equipment Workers, All Other",870,$70870,$61710,$34440,$89080
1,36,New York State, 29-0000,Healthcare Practitioners and Technical Occupations,504800,$85880,$72240,$43970,$106830
1,36,New York State, 29-1011,Chiropractors,1460,$85140,$75260,$58910,$98250
1,36,New York State, 29-1021,"Dentists, General",8310,$166330,$146420,$109940,
1,36,New York State, 29-1022,Oral and Maxillofacial Surgeons,620,$215600,,$111710,
1,36,New York State, 29-1023,Orthodontists,270,$214350,,$157830,
1,36,New York State, 29-1029,"Dentists, All Other Specialists",n/a,$132640,$142900,$71190,$163370
