Area,AreaName,SOC Code,SOC Title,Employment,MeanHourlyWage,MeanAnnualWage,EntryLevelHourlyWage,EntryLevelAnnualWage,ExperiencedLevelHourlyWage,ExperiencedLevelAnnualWage,10%HourlyWage,10%AnnualWage,25%HourlyWage,25%AnnualWage,MedianHourlyWage,MedianAnnualWage,75%HourlyWage,75%AnnualWage,90%HourlyWage,90%AnnualWage
000009,Connecticut Statewide,11-3021,Computer and Information Systems Managers,"6,990",67.92,"141,273",45.83,"95,315",78.97,"164,258",42.64,"88,704",50.71,"105,466",63.52,"132,114",78.34,"162,948",>90.00,">187,200"
000009,Connecticut Statewide,11-3031,Financial Managers,"13,700",71.03,"147,751",40.04,"83,280",86.53,"179,987",36.12,"75,134",46.38,"96,471",61.99,"128,952",85.35,"177,531",>90.00,">187,200"
000009,Connecticut Statewide,11-3051,Industrial Production Managers,"2,640",55.34,"115,106",36.76,"76,454",64.62,"134,427",33.47,"69,618",41.14,"85,562",51.98,"108,107",66.57,"138,459",80.61,"167,676"
000009,Connecticut Statewide,11-3061,Purchasing Managers,"1,320",60.19,"125,207",37.12,"77,201",71.73,"149,204",33.41,"69,496",42.45,"88,295",55.87,"116,222",71.53,"148,785",91.42,"190,159"
000009,Connecticut Statewide,11-3071,"Transportation, Storage, and Distribution Managers","1,100",53.93,"112,169",33.50,"69,680",64.14,"133,424",31.11,"64,717",37.87,"78,767",49.07,"102,069",64.52,"134,212",84.89,"176,558"
000009,Connecticut Statewide,11-3111,Compensation and Benefits Managers,310,66.96,"139,257",42.86,"89,154",79,"164,319",37.46,"77,918",50.19,"104,371",60.42,"125,667",76.69,"159,509",>90.00,">187,200"
000009,Connecticut Statewide,11-3121,Human Resources Managers,"2,040",65.43,"136,105",39.32,"81,786",78.5,"163,275",36.64,"76,209",44.41,"92,378",56.74,"118,033",76.84,"159,837",>90.00,">187,200"
000009,Connecticut Statewide,11-3131,Training and Development Managers,850,59.38,"123,518",42.91,"89,246",67.62,"140,659",40.22,"83,659",47.96,"99,756",56.79,"118,105",72.00,"149,777",86.20,"179,281"
000009,Connecticut Statewide,11-9021,Construction Managers,"2,890",52.54,"109,273",30.60,"63,652",63.5,"132,084",27.51,"57,215",36.41,"75,738",49.79,"103,563",60.47,"125,770",79.43,"165,220"
000009,Connecticut Statewide,11-9031,"Education Administrators, Preschool and Childcare Center/Program",800,30.99,"64,461",16.92,"35,183",38.03,"79,105",14.49,"30,148",19.42,"40,402",25.06,"52,140",38.95,"81,019",52.07,"108,311"
000009,Connecticut Statewide,11-9032,"Education Administrators, Elementary and Secondary School","3,560",N/A,"127,233",N/A,"92,531",N/A,"144,589",N/A,"77,744",N/A,"109,805",N/A,"131,193",N/A,"151,660",N/A,"165,179"
000009,Connecticut Statewide,11-9033,"Education Administrators, Postsecondary","1,830",44.64,"92,838",22.34,"46,460",55.78,"116,027",20.70,"43,073",24.50,"50,953",37.98,"78,982",56.51,"117,532",76.32,"158,752"
000009,Connecticut Statewide,11-9039,"Education Administrators, All Other",360,52.95,"110,133",30.75,"63,959",64.05,"133,230",26.90,"55,947",36.29,"75,472",51.42,"106,971",63.39,"131,848",90.59,"188,419"
000009,Connecticut Statewide,11-9041,Architectural and Engineering Managers,"3,250",70.69,"147,035",49.26,"102,478",81.4,"169,313",45.64,"94,936",55.72,"115,894",67.55,"140,496",79.16,"164,657",>90.00,">187,200"
000009,Connecticut Statewide,11-9051,Food Service Managers,"2,110",29.27,"60,879",18.70,"38,898",34.55,"71,870",16.86,"35,091",21.01,"43,707",26.35,"54,811",36.20,"75,288",45.01,"93,616"
000009,Connecticut Statewide,11-9061,Funeral Service Managers,N/A,44.56,"92,685",30.08,"62,557",51.8,"107,748",26.77,"55,680",36.85,"76,659",44.59,"92,736",49.98,"103,972",70.04,"145,684"
000009,Connecticut Statewide,11-9081,Lodging Managers,160,27.95,"58,116",17.85,"37,117",32.99,"68,626",16.55,"34,405",20.29,"42,203",24.70,"51,372",31.61,"65,740",45.81,"95,274"
000009,Connecticut Statewide,11-9111,Medical and Health Services Managers,"5,050",62.40,"129,812",37.73,"78,470",74.75,"155,477",34.25,"71,246",42.72,"88,878",52.68,"109,580",69.31,"144,159",>90.00,">187,200"
000009,Connecticut Statewide,11-9121,Natural Sciences Managers,"1,160",75.33,"156,675",44.49,"92,531",90.75,"188,757",41.52,"86,350",49.68,"103,338",66.79,"138,940",90.28,"187,785",>90.00,">187,200"
000009,Connecticut Statewide,11-9131,Postmasters and Mail Superintendents,180,36.82,"76,577",29.75,"61,882",40.35,"83,935",29.92,"62,240",32.48,"67,562",37.57,"78,133",40.91,"85,092",44.24,"92,030"
000009,Connecticut Statewide,11-9141,"Property, Real Estate, and Community Association Managers","2,180",38.05,"79,136",21.98,"45,713",46.08,"95,847",20.00,"41,599",25.43,"52,887",30.28,"62,987",41.80,"86,964",77.92,"162,078"
000009,Connecticut Statewide,11-9151,Social and Community Service Managers,"3,450",34.79,"72,371",21.53,"44,792",41.43,"86,156",19.57,"40,699",24.13,"50,195",31.90,"66,354",42.46,"88,315",54.21,"112,763"
000009,Connecticut Statewide,11-9161,Emergency Management Directors,140,39.93,"83,055",26.68,"55,496",46.55,"96,829",23.44,"48,773",32.76,"68,145",38.69,"80,476",48.15,"100,145",59.06,"122,843"
000009,Connecticut Statewide,11-9199,"Managers, All Other","5,080",58.74,"122,178",35.06,"72,924",70.58,"146,810",30.06,"62,506",41.85,"87,067",53.26,"110,778",68.19,"141,816",>90.00,">187,200"
000009,Connecticut Statewide,13-0000,Business and Financial Operations Occupations,"93,320",39.63,"82,451",22.94,"47,719",47.98,"99,818",20.69,"43,042",26.92,"55,998",35.53,"73,896",46.42,"96,553",60.43,"125,688"
000009,Connecticut Statewide,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
000009,Connecticut Statewide,13-1021,"Buyers and Purchasing Agents, Farm Products",70,27.96,"58,147",13.79,"28,684",35.04,"72,883",13.03,"27,098",14.20,"29,534",17.59,"36,585",29.75,"61,882",44.13,"91,774"
000009,Connecticut Statewide,13-1022,"Wholesale and Retail Buyers, Except Farm Products","1,010",30.31,"63,038",16.47,"34,252",37.23,"77,437",15.14,"31,478",18.89,"39,286",26.01,"54,115",34.32,"71,399",44.27,"92,091"
000009,Connecticut Statewide,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","4,270",33.61,"69,915",23.26,"48,384",38.78,"80,671",21.12,"43,943",25.97,"54,023",31.94,"66,426",41.07,"85,429",48.60,"101,097"
000009,Connecticut Statewide,13-1031,"Claims Adjusters, Examiners, and Investigators","5,460",34.44,"71,624",23.50,"48,875",39.9,"82,994",21.43,"44,577",25.76,"53,572",32.29,"67,162",41.28,"85,859",49.13,"102,181"
000009,Connecticut Statewide,13-1032,"Insurance Appraisers, Auto Damage",210,32.82,"68,268",25.05,"52,099",36.71,"76,352",22.96,"47,760",27.42,"57,031",33.11,"68,851",37.75,"78,522",43.00,"89,451"
000009,Connecticut Statewide,13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","3,520",39.68,"82,513",25.78,"53,624",46.61,"96,962",23.03,"47,893",29.64,"61,657",37.62,"78,256",47.31,"98,405",58.38,"121,431"
000009,Connecticut Statewide,13-1051,Cost Estimators,"2,230",37.35,"77,703",23.50,"48,875",44.29,"92,112",20.54,"42,725",27.71,"57,645",36.20,"75,298",46.26,"96,205",57.30,"119,169"
000009,Connecticut Statewide,13-1071,Human Resources Specialists,"5,800",33.28,"69,219",21.36,"44,424",39.25,"81,622",19.24,"40,013",24.31,"50,574",31.31,"65,136",39.95,"83,106",49.48,"102,928"
000009,Connecticut Statewide,13-1075,Labor Relations Specialists,"1,170",28.31,"58,863",9.56,"19,894",37.67,"78,358",9.46,"19,659",9.65,"20,058",26.27,"54,637",40.46,"84,170",53.72,"111,719"
000009,Connecticut Statewide,13-1081,Logisticians,N/A,37.14,"77,253",26.17,"54,432",42.62,"88,663",23.99,"49,899",29.70,"61,780",35.81,"74,469",42.36,"88,110",55.43,"115,291"
000009,Connecticut Statewide,13-1111,Management Analysts,"8,230",48.49,"100,851",29.20,"60,715",58.14,"120,919",26.41,"54,933",33.82,"70,345",43.81,"91,109",55.57,"115,587",74.05,"154,014"
000009,Connecticut Statewide,13-1121,"Meeting, Convention, and Event Planners",940,31.01,"64,491",18.55,"38,591",37.23,"77,437",16.90,"35,142",21.89,"45,529",29.61,"61,575",40.86,"84,979",46.63,"97,003"
000009,Connecticut Statewide,13-1131,Fundraisers,"1,150",28.52,"59,313",17.46,"36,308",34.05,"70,816",15.65,"32,553",20.12,"41,845",26.57,"55,251",35.18,"73,190",44.81,"93,207"
000009,Connecticut Statewide,13-1141,"Compensation, Benefits, and Job Analysis Specialists","1,260",36.49,"75,902",22.76,"47,340",43.36,"90,188",21.25,"44,219",25.78,"53,624",34.22,"71,174",43.78,"91,068",52.74,"109,713"
000009,Connecticut Statewide,13-1151,Training and Development Specialists,"2,880",35.32,"73,446",22.11,"46,010",41.91,"87,169",19.68,"40,934",25.55,"53,153",34.43,"71,604",44.06,"91,620",53.41,"111,085"
000009,Connecticut Statewide,13-1161,Market Research Analysts and Marketing Specialists,"6,970",33.15,"68,953",19.87,"41,323",39.79,"82,758",17.87,"37,168",23.27,"48,404",30.32,"63,069",39.82,"82,820",51.73,"107,605"
000009,Connecticut Statewide,13-1199,"Business Operations Specialists, All Other","7,480",35.68,"74,213",21.54,"44,802",42.76,"88,929",19.02,"39,573",26.06,"54,217",34.61,"71,982",44.22,"91,968",53.83,"111,965"
000009,Connecticut Statewide,13-2011,Accountants and Auditors,"15,460",38.60,"80,282",24.99,"51,976",45.41,"94,435",23.05,"47,944",28.69,"59,692",35.85,"74,551",45.71,"95,090",57.94,"120,510"
000009,Connecticut Statewide,13-2021,Appraisers and Assessors of Real Estate,750,40.96,"85,194",19.65,"40,873",51.62,"107,360",17.27,"35,930",23.87,"49,663",34.24,"71,225",45.70,"95,069",62.84,"130,712"
000009,Connecticut Statewide,13-2031,Budget Analysts,930,41.55,"86,412",32.27,"67,111",46.18,"96,062",31.21,"64,911",34.94,"72,658",40.64,"84,529",47.48,"98,774",55.33,"115,096"
000009,Connecticut Statewide,13-2041,Credit Analysts,"1,420",47.50,"98,815",27.77,"57,758",57.37,"119,333",25.31,"52,641",31.54,"65,607",42.43,"88,243",55.82,"116,109",80.34,"167,113"
000009,Connecticut Statewide,13-2051,Financial Analysts,"5,910",49.33,"102,591",28.37,"58,996",59.8,"124,398",26.13,"54,350",31.27,"65,054",39.50,"82,154",51.81,"107,759",>90.00,">187,200"
000009,Connecticut Statewide,13-2052,Personal Financial Advisors,"4,490",64.34,"133,834",27.52,"57,246",82.75,"172,117",24.57,"51,106",32.97,"68,575",49.04,"101,997",88.11,"183,272",>90.00,">187,200"
000009,Connecticut Statewide,13-2053,Insurance Underwriters,"4,210",43.35,"90,178",22.93,"47,698",53.56,"111,412",21.03,"43,748",25.86,"53,797",35.58,"74,009",48.53,"100,943",80.23,"166,888"
000009,Connecticut Statewide,13-2061,Financial Examiners,600,44.38,"92,306",28.75,"59,805",52.19,"108,557",26.56,"55,230",31.62,"65,781",40.36,"83,945",50.49,"105,016",69.35,"144,251"
000009,Connecticut Statewide,13-2071,Credit Counselors,110,23.07,"47,975",17.12,"35,602",26.04,"54,166",16.34,"33,996",17.99,"37,424",21.51,"44,731",26.43,"54,985",33.55,"69,782"
000009,Connecticut Statewide,13-2072,Loan Officers,"2,300",39.28,"81,694",20.03,"41,661",48.91,"101,711",17.10,"35,572",23.90,"49,704",34.44,"71,634",51.92,"107,994",69.79,"145,162"
000009,Connecticut Statewide,13-2081,"Tax Examiners and Collectors, and Revenue Agents","1,030",39.29,"81,725",26.65,"55,414",45.61,"94,875",23.80,"49,499",30.98,"64,430",40.16,"83,526",48.27,"100,411",55.57,"115,577"
000009,Connecticut Statewide,13-2082,Tax Preparers,790,20.64,"42,919",10.28,"21,398",25.81,"53,685",9.67,"20,119",10.91,"22,698",19.75,"41,087",27.23,"56,632",33.87,"70,458"
000009,Connecticut Statewide,13-2099,"Financial Specialists, All Other","1,390",36.22,"75,329",21.70,"45,130",43.47,"90,423",18.97,"39,471",24.59,"51,147",33.98,"70,673",42.88,"89,185",55.90,"116,263"
000009,Connecticut Statewide,15-0000,Computer and Mathematical Occupations,"46,970",42.65,"88,717",27.04,"56,223",50.46,"104,959",23.95,"49,812",31.60,"65,729",41.30,"85,897",51.98,"108,125",63.34,"131,762"
000009,Connecticut Statewide,15-1111,Computer and Information Research Scientists,N/A,53.30,"110,864",36.37,"75,641",61.77,"128,475",30.64,"63,720",42.65,"88,717",53.10,"110,438",62.12,"129,216",76.17,"158,443"
000009,Connecticut Statewide,15-1121,Computer Systems Analysts,"7,220",44.89,"93,374",32.08,"66,713",51.3,"106,704",29.21,"60,748",36.69,"76,320",44.36,"92,278",52.68,"109,575",61.14,"127,177"
000009,Connecticut Statewide,15-1122,Information Security Analysts,870,46.97,"97,686",32.00,"66,551",54.45,"113,258",29.81,"62,006",36.36,"75,630",45.39,"94,399",56.51,"117,539",67.41,"140,223"
000009,Connecticut Statewide,15-1131,Computer Programmers,"5,020",39.38,"81,910",28.78,"59,855",44.68,"92,938",26.09,"54,275",31.96,"66,470",38.87,"80,835",46.62,"96,955",54.46,"113,278"
000009,Connecticut Statewide,15-1132,"Software Developers, Applications","8,880",47.48,"98,751",31.41,"65,323",55.51,"115,470",29.92,"62,239",36.24,"75,377",45.64,"94,926",57.29,"119,162",70.40,"146,422"
000009,Connecticut Statewide,15-1133,"Software Developers, Systems Software","4,520",50.63,"105,314",36.20,"75,296",57.85,"120,319",32.53,"67,677",40.65,"84,548",48.52,"100,922",60.01,"124,813",73.03,"151,920"
000009,Connecticut Statewide,15-1134,Web Developers,"1,390",34.05,"70,812",20.61,"42,883",40.75,"84,771",18.00,"37,435",23.61,"49,091",32.50,"67,616",43.25,"89,945",53.40,"111,077"
000009,Connecticut Statewide,15-1141,Database Administrators,"1,460",42.63,"88,667",27.02,"56,203",50.43,"104,899",23.60,"49,081",31.37,"65,252",42.84,"89,103",53.73,"111,746",62.36,"129,723"
000009,Connecticut Statewide,15-1142,Network and Computer Systems Administrators,"3,710",42.42,"88,220",30.41,"63,264",48.41,"100,699",27.81,"57,846",33.37,"69,412",40.10,"83,412",49.67,"103,316",60.57,"125,980"
000009,Connecticut Statewide,15-1143,Computer Network Architects,"1,290",53.83,"111,949",38.61,"80,297",61.44,"127,786",35.68,"74,210",44.10,"91,730",53.87,"112,041",64.39,"133,923",75.38,"156,780"
000009,Connecticut Statewide,15-1151,Computer User Support Specialists,"7,160",27.50,"57,207",18.23,"37,922",32.14,"66,845",16.21,"33,722",20.96,"43,593",26.69,"55,523",33.27,"69,199",39.74,"82,661"
000009,Connecticut Statewide,15-1152,Computer Network Support Specialists,"1,180",39.32,"81,788",26.10,"54,296",45.93,"95,525",25.20,"52,419",29.00,"60,332",36.95,"76,858",46.82,"97,381",59.52,"123,799"
000009,Connecticut Statewide,15-1199,"Computer Occupations, All Other","1,550",47.38,"98,538",29.34,"61,022",56.4,"117,296",26.47,"55,057",35.30,"73,429",45.30,"94,216",57.29,"119,162",69.40,"144,362"
000009,Connecticut Statewide,15-2011,Actuaries,980,52.84,"109,910",33.92,"70,558",62.3,"129,581",32.26,"67,099",36.96,"76,868",47.82,"99,471",62.59,"130,200",78.83,"163,962"
000009,Connecticut Statewide,15-2031,Operations Research Analysts,"1,200",47.83,"99,481",30.85,"64,167",56.31,"117,143",28.42,"59,104",34.55,"71,867",44.19,"91,913",56.77,"118,077",68.96,"143,419"
000009,Connecticut Statewide,15-2041,Statisticians,410,51.98,"108,125",31.16,"64,816",62.39,"129,774",28.08,"58,404",36.42,"75,762",48.62,"101,135",62.73,"130,474",77.42,"161,020"
000009,Connecticut Statewide,15-2099,"Mathematical Science Occupations, All Other",20,34.15,"71,014",23.13,"48,117",39.65,"82,468",20.43,"42,487",27.52,"57,258",32.54,"67,707",38.36,"79,770",48.51,"100,901"
000009,Connecticut Statewide,17-0000,Architecture and Engineering Occupations,"33,140",40.67,"84,599",27.03,"56,213",47.5,"98,791",24.91,"51,810",30.69,"63,832",39.77,"82,712",49.49,"102,941",59.68,"124,143"
000009,Connecticut Statewide,17-1011,"Architects, Except Landscape and Naval","1,330",39.76,"82,681",25.00,"52,003",47.13,"98,030",23.18,"48,219",28.23,"58,719",39.71,"82,590",46.86,"97,472",57.41,"119,416"
000009,Connecticut Statewide,17-1012,Landscape Architects,230,39.29,"81,717",24.48,"50,917",46.69,"97,107",22.38,"46,535",27.27,"56,720",35.94,"74,758",48.02,"99,877",63.91,"132,949"
000009,Connecticut Statewide,17-1021,Cartographers and Photogrammetrists,50,29.47,"61,306",23.50,"48,868",32.46,"67,514",21.02,"43,725",25.53,"53,109",29.12,"60,555",33.80,"70,314",38.42,"79,901"
000009,Connecticut Statewide,17-1022,Surveyors,490,29.66,"61,701",21.41,"44,526",33.79,"70,294",19.69,"40,965",24.80,"51,587",28.76,"59,814",34.88,"72,546",43.02,"89,499"
000009,Connecticut Statewide,17-2011,Aerospace Engineers,"2,000",52.22,"108,601",41.23,"85,745",57.7,"120,025",39.20,"81,535",44.32,"92,197",51.80,"107,739",59.80,"124,387",70.23,"146,097"
000009,Connecticut Statewide,17-2031,Biomedical Engineers,110,42.81,"89,042",34.60,"71,978",46.91,"97,574",29.39,"61,143",39.33,"81,809",44.04,"91,609",48.78,"101,449",54.66,"113,704"
000009,Connecticut Statewide,17-2041,Chemical Engineers,340,44.47,"92,491",33.00,"68,651",50.2,"104,412",30.35,"63,132",37.93,"78,907",44.58,"92,725",51.10,"106,278",60.97,"126,822"
000009,Connecticut Statewide,17-2051,Civil Engineers,"3,690",43.01,"89,478",31.11,"64,725",48.97,"101,855",28.68,"59,652",34.74,"72,252",42.76,"88,951",50.42,"104,878",59.71,"124,194"
000009,Connecticut Statewide,17-2061,Computer Hardware Engineers,380,50.67,"105,406",35.23,"73,277",58.4,"121,475",32.48,"67,575",39.24,"81,626",50.23,"104,472",60.04,"124,864",74.15,"154,223"
000009,Connecticut Statewide,17-2071,Electrical Engineers,"1,950",44.27,"92,075",31.71,"65,962",50.55,"105,142",28.71,"59,723",36.57,"76,067",44.28,"92,116",52.26,"108,703",60.36,"125,554"
000009,Connecticut Statewide,17-2072,"Electronics Engineers, Except Computer",730,49.21,"102,362",35.54,"73,926",56.05,"116,586",32.89,"68,417",39.19,"81,504",47.80,"99,430",57.78,"120,167",69.62,"144,819"
000009,Connecticut Statewide,17-2081,Environmental Engineers,600,44.51,"92,572",30.89,"64,258",51.31,"106,725",28.04,"58,333",35.52,"73,886",44.65,"92,877",52.14,"108,470",59.99,"124,772"
000009,Connecticut Statewide,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",130,45.82,"95,312",32.57,"67,738",52.45,"109,099",30.61,"63,659",37.21,"77,396",46.91,"97,584",55.95,"116,372",61.89,"128,749"
000009,Connecticut Statewide,17-2112,Industrial Engineers,"4,250",42.75,"88,930",30.82,"64,106",48.73,"101,338",28.49,"59,267",34.25,"71,238",41.91,"87,175",50.09,"104,168",60.17,"125,148"
000009,Connecticut Statewide,17-2131,Materials Engineers,580,48.49,"100,871",37.10,"77,172",54.19,"112,720",33.98,"70,680",40.24,"83,706",48.34,"100,546",57.48,"119,568",63.54,"132,148"
000009,Connecticut Statewide,17-2141,Mechanical Engineers,"5,970",41.22,"85,745",29.57,"61,499",47.05,"97,868",27.26,"56,710",32.37,"67,342",40.03,"83,259",49.01,"101,946",58.91,"122,530"
000009,Connecticut Statewide,17-2161,Nuclear Engineers,460,54.86,"114,120",43.94,"91,396",60.33,"125,483",39.52,"82,204",48.93,"101,774",55.92,"116,301",62.41,"129,814",71.39,"148,491"
000009,Connecticut Statewide,17-2199,"Engineers, All Other","1,470",48.50,"100,871",33.56,"69,807",55.97,"116,413",31.49,"65,486",37.53,"78,045",48.09,"100,019",58.24,"121,151",68.13,"141,725"
000009,Connecticut Statewide,17-3011,Architectural and Civil Drafters,790,28.31,"58,891",21.44,"44,577",31.75,"66,043",20.49,"42,629",23.59,"49,061",27.57,"57,349",31.71,"65,972",37.78,"78,593"
000009,Connecticut Statewide,17-3012,Electrical and Electronics Drafters,370,32.32,"67,230",21.79,"45,328",37.59,"78,177",19.63,"40,833",25.00,"52,003",32.66,"67,920",38.50,"80,084",46.54,"96,803"
000009,Connecticut Statewide,17-3013,Mechanical Drafters,"1,790",29.47,"61,306",22.42,"46,626",33,"68,651",20.71,"43,075",24.99,"51,962",28.49,"59,246",33.24,"69,158",42.54,"88,474"
000009,Connecticut Statewide,17-3019,"Drafters, All Other",120,26.86,"55,878",18.75,"38,987",30.92,"64,319",16.39,"34,097",21.23,"44,161",26.33,"54,762",31.63,"65,800",38.32,"79,699"
000009,Connecticut Statewide,17-3021,Aerospace Engineering and Operations Technicians,110,37.37,"77,730",30.73,"63,923",40.69,"84,629",28.51,"59,297",33.07,"68,803",37.19,"77,345",42.59,"88,586",47.47,"98,720"
000009,Connecticut Statewide,17-3022,Civil Engineering Technicians,460,30.89,"64,248",20.00,"41,594",36.33,"75,570",17.68,"36,786",23.15,"48,148",30.50,"63,426",37.54,"78,065",45.78,"95,220"
000009,Connecticut Statewide,17-3023,Electrical and Electronics Engineering Technicians,"1,540",30.72,"63,893",21.32,"44,364",35.41,"73,652",19.00,"39,525",24.07,"50,075",30.39,"63,213",36.38,"75,661",44.49,"92,532"
000009,Connecticut Statewide,17-3024,Electro-Mechanical Technicians,70,30.32,"63,071",22.02,"45,814",34.47,"71,704",20.44,"42,517",23.96,"49,832",31.06,"64,623",36.30,"75,509",39.34,"81,829"
000009,Connecticut Statewide,17-3025,Environmental Engineering Technicians,170,24.16,"50,248",18.82,"39,129",26.83,"55,807",17.19,"35,751",20.60,"42,862",23.30,"48,462",27.95,"58,141",32.68,"67,971"
000009,Connecticut Statewide,17-3026,Industrial Engineering Technicians,950,31.12,"64,745",22.51,"46,819",35.44,"73,703",19.69,"40,955",25.71,"53,464",30.81,"64,096",36.62,"76,178",43.28,"90,026"
000009,Connecticut Statewide,17-3027,Mechanical Engineering Technicians,910,31.87,"66,277",22.18,"46,129",36.7,"76,341",20.32,"42,274",24.79,"51,567",30.56,"63,558",39.00,"81,109",46.49,"96,701"
000009,Connecticut Statewide,17-3029,"Engineering Technicians, Except Drafters, All Other",610,34.18,"71,086",24.34,"50,623",39.1,"81,322",22.35,"46,494",26.70,"55,533",33.62,"69,919",41.37,"86,059",47.56,"98,923"
000009,Connecticut Statewide,17-3031,Surveying and Mapping Technicians,260,26.05,"54,194",17.66,"36,745",30.25,"62,919",15.52,"32,291",20.63,"42,923",26.02,"54,113",31.48,"65,486",37.11,"77,183"
000009,Connecticut Statewide,19-0000,"Life, Physical, and Social Science Occupations","12,560",42.22,"87,825",22.94,"47,722",51.86,"107,871",20.49,"42,629",27.32,"56,822",38.46,"80,003",51.54,"107,191",72.30,"150,388"
000009,Connecticut Statewide,19-1012,Food Scientists and Technologists,N/A,20.13,"41,858",17.31,"36,004",21.53,"44,780",15.98,"33,245",16.77,"34,868",18.07,"37,587",19.36,"40,265",32.24,"67,068"
000009,Connecticut Statewide,19-1013,Soil and Plant Scientists,110,35.41,"73,642",24.90,"51,780",40.66,"84,578",22.34,"46,454",27.39,"56,984",33.68,"70,051",40.97,"85,207",56.18,"116,859"
000009,Connecticut Statewide,19-1021,Biochemists and Biophysicists,310,57.32,"119,233",38.94,"80,987",66.52,"138,357",35.91,"74,687",44.21,"91,964",54.56,"113,481",66.10,"137,494",80.63,"167,706"
000009,Connecticut Statewide,19-1022,Microbiologists,160,44.74,"93,049",25.83,"53,728",54.18,"112,710",24.75,"51,496",28.31,"58,901",39.75,"82,681",49.09,"102,109",71.26,"148,207"
000009,Connecticut Statewide,19-1023,Zoologists and Wildlife Biologists,80,44.51,"92,562",32.64,"67,890",50.43,"104,909",28.62,"59,530",38.91,"80,936",44.66,"92,877",52.08,"108,328",58.10,"120,846"
000009,Connecticut Statewide,19-1029,"Biological Scientists, All Other",40,42.20,"87,784",27.45,"57,106",49.58,"103,123",23.36,"48,604",31.94,"66,439",41.51,"86,343",47.62,"99,045",55.30,"115,033"
000009,Connecticut Statewide,19-1031,Conservation Scientists,50,37.81,"78,643",23.03,"47,904",45.2,"94,003",14.46,"30,059",27.76,"57,735",42.20,"87,784",48.98,"101,875",50.19,"104,381"
000009,Connecticut Statewide,19-1032,Foresters,80,35.27,"73,368",24.83,"51,658",40.49,"84,223",20.61,"42,862",31.53,"65,587",38.92,"80,936",41.61,"86,557",44.78,"93,130"
000009,Connecticut Statewide,19-1041,Epidemiologists,120,43.97,"91,446",31.32,"65,130",50.29,"104,594",28.58,"59,449",33.89,"70,507",41.63,"86,607",48.45,"100,790",57.95,"120,532"
000009,Connecticut Statewide,19-1042,"Medical Scientists, Except Epidemiologists","2,700",57.89,"120,410",33.51,"69,696",70.08,"145,762",30.63,"63,700",38.56,"80,206",54.73,"113,836",78.09,"162,420",90.42,"188,077"
