LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE
0000633178-0001-2,NORTH OF THE BORDER MEXICAN RESTAURANTS INC,PRESIDENTE,18441 DEVONSHIRE STREET,NORTHRIDGE,91325-1007,18441 DEVONSHIRE 91325-1007,15455 SAN FERNANDO MISSION BLVD #202,MISSION HILLS,91345-1386,722110,Full-service restaurants,12,2/8/1988
0000372567-0001-9,FAR SEA FOOD INC,DENNYS RESTAURANT,8330 TOPANGA CANYON BLVD,CANOGA PARK,91304-2342,8330 TOPANGA CANYON 91304-2342,,,,722110,Full-service restaurants,3,7/8/1996
0002104363-0001-2,MARINAHOP INC,IHOP MARINA #3095,4070 LINCOLN BLVD,MARINA DEL REY,90292-5614,4070 LINCOLN 90292-5614,1445 5TH STREET,SANTA MONICA,90401-2401,722110,Full-service restaurants,11,6/1/2006
0002750843-0001-1,TIGRAN ARUTUNYAN,LA PIZZA LAND AND BAKERY,4837 LAUREL CANYON BLVD,VALLEY VILLAGE,91607-3747,4837 LAUREL CANYON 91607-3747,,,,722110,Full-service restaurants,2,1/1/2014
0002567824-0001-5,BA RESTAURANT LLC,BA,5100 YORK BLVD,LOS ANGELES,90042-1716,5100 YORK 90042-1716,,,,722110,Full-service restaurants,14,11/10/2010
0000814801-0001-8,SOCIETA GARIBALDINA DI MUTUA BENEFICENZA/C/,GARIBALDINA M.B. SOCIETY,4533 N FIGUEROA STREET,LOS ANGELES,90065-3026,4533 FIGUEROA 90065-3026,4533 N FIGUEROA STREET,LOS ANGELES,90065-3026,722110,Full-service restaurants,1,9/1/1968
0000419075-0001-1,HOWARD HUGHES JOHNNY ROCKET INC,,6081 CENTER DRIVE #109,LOS ANGELES,90045-8830,6081 CENTER 90045-8830,,,,722110,Full-service restaurants,11,5/14/2001
0002406768-0001-9,PHOENICIAN ENTERPRISES CORP,SHARKY'S WOODFIRED MEXICAN GRILL,10119 RIVERSIDE DRIVE,TOLUCA LAKE,91602-2517,10119 RIVERSIDE 91602-2517,,,,722110,Full-service restaurants,4,5/15/2008
0000125146-0001-3,VARTEN/HARUTYUN KAVAFYAN,ARTS SUBS,20855 VENTURA BLVD #9,WOODLAND HILLS,91364-0840,20855 VENTURA 91364-0840,,,,722110,Full-service restaurants,3,10/16/1994
0002614596-0001-7,PARIS RICE / CHRIS RICE,THE BLACK FIG,960 E 3RD STREET,LOS ANGELES,90013-1822,960 3RD 90013-1822,1452 SILVER LAKE BLVD,LOS ANGELES,90026-1346,722110,Full-service restaurants,14,6/20/2012
0002676510-0001-3,YARD  HOUSE USA INC,YARD HOUSE #8350,13455 MAXELLA AVENUE SUITE #170,MARINA DEL REY,90292-8810,13455 MAXELLA 90292-8810,1000 DARDEN CENTER DRIVE,ORLANDO,32837-4032,722110,Full-service restaurants,11,6/2/2013
0000106174-0001-0,ROMALDO H FELIPE,JUNIOR PIZZA,3520 N FIGUEROA STREET #7,LOS ANGELES,90065-2463,3520 FIGUEROA 90065-2463,3349 GASSEN PLACE #B,LOS ANGELES,90065-2758,722110,Full-service restaurants,1,1/2/1995
0000195355-0004-8,PANDA EXPRESS INC,PANDA EXPRESS 119,3650 W MARTIN LUTHER KING JR BLVD #137,LOS ANGELES,90008-1748,3650 MARTIN LUTHER KING JR 90008-1748,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,8,1/1/1995
0000390119-0001-5,ZENAIDA VASQUEZ/MELINDA SERRANO/DORA RUIZ,EMILIAS,1720 NEWPORT AVENUE UNIT #3,LONG BEACH,90804-1920,1720 NEWPORT 90804-1920,,,,722110,Full-service restaurants,0,5/1/2004
0002705717-0001-5,CHOI'S WOK EXPRESS,,18515 ROSCOE BLVD,NORTHRIDGE,91324-4632,18515 ROSCOE 91324-4632,,,,722110,Full-service restaurants,12,9/15/2013
0002727934-0001-2,TETSUYA HARIKAWA,HARIKAWA,10914 W PICO BLVD,LOS ANGELES,90064-2112,10914 PICO 90064-2112,,,,722110,Full-service restaurants,5,2/5/2014
0000967302-0001-1,JACK IN THE BOX INC,JACK IN THE BOX #3262,5101 W JEFFERSON BLVD,LOS ANGELES,90016-3813,5101 JEFFERSON 90016-3813,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,10,7/15/1999
0002739645-0001-7,CHEF JET FOOD SERVICE LLC,,2263 BANCROFT AVENUE,LOS ANGELES,90039-3623,2263 BANCROFT 90039-3623,,,,722110,Full-service restaurants,13,4/29/2013
0002432270-0001-5,GYU DON INC,YOSHINOYA,6050 LANKERSHIM BLVD,NORTH HOLLYWOOD,91606-4806,6050 LANKERSHIM 91606-4806,,,,722110,Full-service restaurants,2,3/1/2008
0000072116-0001-7,RENILKO CORPORATION,NANAY GLORIA'S FAST FOOD & RESTAURANT,3756 W AVENUE 40,LOS ANGELES,90065-3665,3756 AVENUE 40 90065-3665,,,,722110,Full-service restaurants,1,5/1/2000
0000780120-0001-3,COSTA DEL SOL RESTAURANT INC,COSTA DEL SOL,11203 GLENOAKS BLVD #7,PACOIMA,91331-7303,11203 GLENOAKS 91331-7303,,,,722110,Full-service restaurants,7,10/1/1990
0002757600-0004-2,HOST HAVANA LAX F&B LLC,LA PROVENCE,400 WORLD WAY SPACE #U2,LOS ANGELES,90045-5888,400 WORLD 90045-5888,6905 ROCKLEDGE DRIVE,BETHESDA,20817-1828,722110,Full-service restaurants,11,12/4/2013
0000300903-0001-2,BEHROKH TABIBIAN,BEN ENTERPRISE/SUBWAY,6700 LAUREL CANYON BLVD,N HOLLYWOOD,91606-1547,6700 LAUREL CANYON 91606-1547,,,,722110,Full-service restaurants,2,12/12/1985
0002255176-0001-8,PRINYA SILPACHAI,BARN RAU,10825 OXNARD STREET,NORTH HOLLYWOOD,91606-5020,10825 OXNARD 91606-5020,,,,722110,Full-service restaurants,2,6/21/2007
0002627965-0001-2,GREYLIGHT LLC,CINCO,7241 W MANCHESTER AVENUE,LOS ANGELES,90045-3510,7241 MANCHESTER 90045-3510,,,,722110,Full-service restaurants,11,9/29/2012
0002531633-0001-5,YURA INTERNATIONAL INC,KI KU SUSHI,246 N LARCHMONT BLVD,LOS ANGELES,90004-3707,246 LARCHMONT 90004-3707,,,,722110,Full-service restaurants,4,12/1/2010
0000679399-0001-0,CCM CREATIONS INC,PURE ENERGY CAFE,2250 PARK PLACE,EL SEGUNDO,90245-4908,2250 PARK 90245-4908,2250 PARK PLACE,EL SEGUNDO,90245-4908,722110,Full-service restaurants,0,5/15/2002
0000732788-0001-3,KHUNAKORN CORPORATION,SIAM CHAN RESTAURANT,1611 COLBY AVENUE,LOS ANGELES,90025-3013,1611 COLBY 90025-3013,,,,722110,Full-service restaurants,11,12/17/2002
0000124810-0001-5,WOK INN INC,,201 N LOS ANGELES STREET #102,LOS ANGELES,90012-3316,201 LOS ANGELES 90012-3316,,,,722110,Full-service restaurants,14,1/1/1984
0002453272-0001-4,CATALINA TORRES,SABOR MEXICANA RESTAURANT,1151 VENICE BLVD,LOS ANGELES,90015-3245,1151 VENICE 90015-3245,,,,722110,Full-service restaurants,1,8/1/2009
0002527672-0001-2,RODRIGUEZ CMC INC,PURE ENERGY CAFE,6833 PARK TERRACE,LOS ANGELES,90045-1539,6833 PARK 90045-1539,,,,722110,Full-service restaurants,11,11/1/2010
0000902995-0001-1,MASTER BURGER INC,MASTER BURGER,4419 S WESTERN AVENUE,LOS ANGELES,90062-1606,4419 WESTERN 90062-1606,,,,722110,Full-service restaurants,8,10/6/1998
0000441624-0001-8,JOSE G CISNEROS,MAYA BARBER AND BEAUTY SALON,2306 E 1ST STREET,LOS ANGELES,90033-4002,2306 1ST 90033-4002,412 ULYSSES STREET,LOS ANGELES,90065-2433,722110,Full-service restaurants,14,3/29/2006
0002333826-0001-5,LEE FINANCIAL INVESTMENT LLC,ALOHA CAFE,410 E 2ND STREET,LOS ANGELES,90012-4209,410 2ND 90012-4209,,,,722110,Full-service restaurants,14,2/28/2008
0002483866-0001-7,CILANTRO FRESH MEXICAN GRILL EXPRESS LLC,,330 S HOPE STREET #23,LOS ANGELES,90071-3115,330 HOPE 90071-3115,,,,722110,Full-service restaurants,14,5/1/2009
0000652392-0001-4,L A DOWNTOWN PALM LLC,PALM RESTAURANT,1100 S FLOWER STREET,LOS ANGELES,90015-2180,1100 FLOWER 90015-2180,1730 RHODE ISLAND AVENUE NW SUITE ##900,WASHINGTON,20036-3113,722110,Full-service restaurants,14,3/11/2002
0002587531-0001-3,SICHA SIAM RESTAURANT LLC,SICHA SIAM RESTAURANT,4403 EAGLE ROCK BLVD,LOS ANGELES,90041-3212,4403 EAGLE ROCK 90041-3212,4403 EAGLE ROCK BLVD,LOS ANGELES,90041-3212,722110,Full-service restaurants,14,11/16/2011
0000605342-0001-6,RICARDO GARDUNO/CANDELARIA DE LA CRUZ,TAQUERIA CAPULHUAC,6315 S BROADWAY,LOS ANGELES,90003-1431,6315 BROADWAY 90003-1431,1207 E 56TH STREET,LOS ANGELES,90011-4725,722110,Full-service restaurants,9,1/1/2002
0000841265-0007-5,TBS FOODS INC,JACK IN THE BOX # 287,4407 S CENTRAL AVENUE,LOS ANGELES,90011-3629,4407 CENTRAL 90011-3629,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,9,9/9/1991
0002509178-0001-1,TUNNEL FORTUNE RESTAURANTS LLC,SIZZLING WOK,7070 SEPULVEDA BLVD,VAN NUYS,91405-2926,7070 SEPULVEDA 91405-2926,,,,722110,Full-service restaurants,6,2/1/2010
0000692947-0001-3,DELUSCIOUS COOKIES & MILK LLC,,829 N HIGHLAND AVENUE,LOS ANGELES,90038-3416,829 HIGHLAND 90038-3416,,,,722110,Full-service restaurants,4,11/15/2002
0000888445-0001-1,JACK IN THE BOX INC,JACK IN THE BOX #321,9018 WOODMAN AVENUE,ARLETA,91331-6403,9018 WOODMAN 91331-6403,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,6,11/1/1970
0000124345-0001-8,GOLD MEDAL INC,GOLD MEDAL LCHINESE FOOD,1600 W 6TH STREET,LOS ANGELES,90017-1002,1600 6TH 90017-1002,767 N HILL STREET #210,LOS ANGELES,90012-2365,722110,Full-service restaurants,1,1/7/2004
0002531610-0001-4,SAID R SAID ZADAH,S. GYRO & KABOB HOUSE,7221 TAMPA AVENUE,RESEDA,91335-3554,7221 TAMPA 91335-3554,,,,722110,Full-service restaurants,3,11/28/2010
0000809648-0001-8,JOSE L QUEZADA,RESTAURANTE EL CHAPULIN,608 E 59TH STREET,LOS ANGELES,90001-1002,608 59TH 90001-1002,9219 BANDERA STREET,LOS ANGELES,90002-2414,722110,Full-service restaurants,9,3/1/2003
0000965276-0001-1,C B S SEAFOOD RESTAURANT LLC,C B S SEAFOOD RESTAURANT,700 N SPRING STREET,LOS ANGELES,90012-2824,700 SPRING 90012-2824,,,,722110,Full-service restaurants,1,6/15/1999
0002507735-0001-7,FANN CHAU,SL DONUTS,4411 S MAIN STREET,LOS ANGELES,90037-2731,4411 MAIN 90037-2731,,,,722110,Full-service restaurants,9,5/1/2010
0000010601-0001-9,EL ARCO IRIS RESTAURANT LLC,,5684 YORK BLVD,LOS ANGELES,90042-2551,5684 YORK 90042-2551,,,,722110,Full-service restaurants,14,10/1/1999
0002715371-0001-3,OISHI LLC,,8215 DE SOTO AVENUE,CANOGA PARK,91304-4343,8215 DE SOTO 91304-4343,,,,722110,Full-service restaurants,3,6/1/2013
0000139813-0001-1,SUPAWAN CHEWINSIRIWAT,SIAM CABIN RESTAURANT,13548 VENTURA BLVD,SHERMAN OAKS,91423-3826,13548 VENTURA 91423-3826,,,,722110,Full-service restaurants,4,9/16/2004
0000031488-0001-3,MARTIN AGUSTIN,FIDDLER'S RESTAURANT,12721 GLENOAKS BLVD,SYLMAR,91342-4749,12721 GLENOAKS 91342-4749,,,,722110,Full-service restaurants,7,5/10/2003
0000726934-0001-6,SIMON BENARROCH,ABBA'S ON LA BREA | L A GLATT KOSHER CATERING,129 N LA BREA AVENUE,LOS ANGELES,90036-2911,129 LA BREA 90036-2911,129 N LA BREA AVENUE,LOS ANGELES,90036-2911,722110,Full-service restaurants,5,8/13/1989
0000392751-0004-1,CHOPRAS RESTAURANT INC,VENUS BANQUET HALL,20825 SHERMAN WAY,CANOGA PARK,91306-2706,20825 SHERMAN 91306-2706,7140 DE SOTO AVENUE,CANOGA PARK,91303-2208,722110,Full-service restaurants,3,1/1/2011
0002476248-0001-5,BAJA BEST INC,BAJA FRESH RESTAURANT #89,22815 VICTORY BLVD UNIT #C,WEST HILLS,91307-3955,22815 VICTORY 91307-3955,POST OFFICE BOX #87,MOORPARK,93020-0087,722110,Full-service restaurants,3,1/1/2010
0000515281-0001-9,FRANCISCO ARCONADA,VICKY'S RESTAURANT,2308 E 1ST STREET,LOS ANGELES,90033-4002,2308 1ST 90033-4002,,,,722110,Full-service restaurants,14,8/1/1986
0000109166-0001-7,BARNEY MESKIN/STEPHANIE LEFF/SYDNEY R ROTHMAN,HOUSE OF BILLIARDS,14662 VENTURA BLVD,SHERMAN OAKS,91403-3618,14662 VENTURA 91403-3618,,,,722110,Full-service restaurants,4,3/1/1978
0002484286-0001-2,LUIS LEZAMA ALVAREZ / GLORIA LEZAMA,S A RESTAURANT,3859 BROADWAY PLACE #6,LOS ANGELES,90037-1413,3859 BROADWAY 90037-1413,,,,722110,Full-service restaurants,9,2/8/2010
0000269786-0001-7,GUADALUPE F CHAVEZ,TAQUERIA DON LUPE,5300 S BROADWAY,LOS ANGELES,90037-3808,5300 BROADWAY 90037-3808,,,,722110,Full-service restaurants,9,1/9/2001
0000016662-0001-9,BEACH PIZZA INC,BEACH PIZZA,8601 LINCOLN BLVD,WESTCHESTER,90045-3554,8601 LINCOLN 90045-3554,,,,722110,Full-service restaurants,11,11/5/1992
0002173147-0001-4,MARTINEAU & CO INC,FRENCH MARKET CAFE,2321 ABBOT KINNEY BLVD,VENICE,90291-4875,2321 ABBOT KINNEY 90291-4875,,,,722110,Full-service restaurants,11,1/1/2005
0002773707-0001-1,VT FOODS CORP,PHO CHINESE FOOD,445 E ANAHEIM STREET #A,WILMINGTON,90744-4600,445 ANAHEIM 90744-4600,,,,722110,Full-service restaurants,15,9/9/2014
0000101866-0001-6,MARIA TERESA VILLALVAZO,TERESAS CATERING SERVICE,6804 S HOOVER STREET,LOS ANGELES,90044-6247,6804 HOOVER 90044-6247,,,,722110,Full-service restaurants,8,9/1/2003
0000965686-0001-8,LA PIZZA LOCA INC,LA PIZZA LOCA INC #32,9792 LAUREL CANYON BLVD,PACOIMA,91331-4183,9792 LAUREL CANYON 91331-4183,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722110,Full-service restaurants,7,6/1/1999
0000072116-0002-5,RENILKO CORPORATION,NANAY GLORIA'S FAST FOOD & RESTAURANT,8911 DE SOTO AVENUE,CANOGA PARK,91304-1966,8911 DE SOTO 91304-1966,,,,722110,Full-service restaurants,3,4/5/2010
0002499561-0001-0,THE PARLOR HW LLC,THE PARLOR,7250 MELROSE AVENUE,LOS ANGELES,90046-7668,7250 MELROSE 90046-7668,,,,722110,Full-service restaurants,5,4/29/2010
0000392298-0001-2,K & K VISION INC,GREAT KHANS,9301 TAMPA AVENUE #FC 1,NORTHRIDGE,91324-2503,9301 TAMPA 91324-2503,,,,722110,Full-service restaurants,12,11/16/2003
0000477507-0001-9,JACK IN THE BOX INC,JACK IN THE BOX 3378,516 N BEAUDRY AVENUE,LOS ANGELES,90012-1510,516 BEAUDRY 90012-1510,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,1,9/28/1997
0000572520-0002-1,TAKAAKI KOYAMA,TAMON,328 E 1ST STREET,LOS ANGELES,90012-3902,328 1ST 90012-3902,139 N CITRUS AVENUE,COVINA,91723-2002,722110,Full-service restaurants,14,5/1/2007
0000755762-0001-3,MIGNON BAKERY INC,,18353 VANOWEN STREET #G,RESEDA,91335-5498,18353 VANOWEN 91335,,,,722110,Full-service restaurants,3,1/26/1998
0002248492-0001-7,RAFAELA C FUENTES/ANDRES FUENTES/MILTON FUENTES,JARAGUA THE COPPER STILL,4493 BEVERLY BLVD,LOS ANGELES,90004-2386,4493 BEVERLY 90004-2386,POST OFFICE BOX #26387,LOS ANGELES,90026-0387,722110,Full-service restaurants,10,4/14/2007
0002477950-0001-7,PEPE'S NY PIZZA INC,,11946 VENTURA BLVD,STUDIO CITY,91604-2606,11946 VENTURA 91604-2606,,,,722110,Full-service restaurants,2,1/7/2010
0000083891-0006-5,SODEXHO OPERATIONS LLC,CEDARS SINAI MEDICAL CENTER,8700 BEVERLY BLVD,WEST HOLLYWOOD,90048-1804,8700 BEVERLY 90048-1804,POST OFFICE BOX #352,BUFFALO,14240-0352,722110,Full-service restaurants,0,4/1/1998
0002485385-0001-3,FARWELL FRIENDS LLC,MODERN EATS,2590 GLENDALE BLVD UNIT #D,LOS ANGELES,90039-3291,2590 GLENDALE 90039-3291,21201 VICTORY BLVD SUITE #225,CANOGA PARK,91303-4058,722110,Full-service restaurants,4,1/1/2010
0000684707-0001-1,YONG SUK SURLES,CLUB ABBA / BLUE MOON,4210 BEVERLY BLVD,LOS ANGELES,90004-4430,4210 BEVERLY 90004-4430,,,,722110,Full-service restaurants,10,6/1/2002
0000486258-0001-6,ANDREAS PAPANTONOPOULOS,"A&T BURGERS, INC.",11318 AVALON BLVD,LOS ANGELES,90061-3026,11318 AVALON 90061-3026,,,,722110,Full-service restaurants,15,10/18/1983
0002738450-0001-4,"SSAM RESTAURANT, INC",,1040 S WESTERN AVENUE,LOS ANGELES,90006-2313,1040 WESTERN 90006-2313,,,,722110,Full-service restaurants,10,3/15/2014
0002447601-0001-0,KATSUYA DOWNTOWN LA LLC,KATSUYA,800 W OLYMPIC BLVD #A175,LOS ANGELES,90015-1364,800 OLYMPIC 90015-1364,5900 WILSHIRE BLVD #3100,LOS ANGELES,90036-5030,722110,Full-service restaurants,14,6/15/2009
0000002961-0001-3,DAVID JUAREZ,TAQUERIA JALISCO,4755 W WASHINGTON BLVD,LOS ANGELES,90016-1515,4755 WASHINGTON 90016-1515,,,,722110,Full-service restaurants,10,1/1/2000
0000449326-0001-1,CAROLINA OCHOA,CANDILEJAS RESTAURANT,7505 N SAN FERNANDO ROAD,BURBANK,91505-1044,7505 SAN FERNANDO 91505-1044,7505 N SAN FERNANDO ROAD,BURBANK,91505-1044,722110,Full-service restaurants,2,4/1/1997
0000160769-0001-2,HOME COOKING INC,PHILS DELI/PAMPAS GRILL,6333 W 3RD STREET UNIT #175E,LOS ANGELES,90036-3191,6333 3RD 90036-3191,POST OFFICE BOX #48320,LOS ANGELES,90048-0320,722110,Full-service restaurants,4,4/1/2000
0002716358-0001-5,KANIZ FATEMA,KING OF INDIA,14062 BURBANK BLVD,SHERMAN OAKS,91401-5030,14062 BURBANK 91401-5030,,,,722110,Full-service restaurants,4,12/6/2013
0002769155-0001-9,"TM FRESH GREENS, INC",,14006 RIVERSIDE DRIVE SUITE #249,SHERMAN OAKS,91423-6393,14006 RIVERSIDE 91423-6393,,,,722110,Full-service restaurants,4,8/1/2014
0002480160-0001-1,TTURAK INC,TTURAK,125 N WESTERN AVENUE SUITE #106,LOS ANGELES,90004-4124,125 WESTERN 90004-4124,,,,722110,Full-service restaurants,10,2/20/2009
0002584553-0001-8,BULUT'S GRILL HOUSE INC,,1942 WESTWOOD BLVD,LOS ANGELES,90025-4614,1942 WESTWOOD 90025-4614,,,,722110,Full-service restaurants,5,11/1/2011
0002490730-0001-5,ARASHI SUSHI INC,,1111 S HOPE STREET SUITE #100,LOS ANGELES,90015-2118,1111 HOPE 90015-2118,149 S BARRINGTON AVENUE SUITE #782,LOS ANGELES,90049-3310,722110,Full-service restaurants,14,3/19/2010
0002355319-0001-1,SINEENART KLINMALAI,SERMMITH,4814 MELROSE AVENUE,LOS ANGELES,90029-3730,4814 MELROSE 90029-3730,,,,722110,Full-service restaurants,13,8/1/2008
0002250146-0001-1,JACINTO GUTIERREZ,THAI KLANG DONG,4903 SEPULVEDA BLVD,LOS ANGELES,90230-5264,4903 SEPULVEDA 90230-5264,5026 LEMON GROVE AVENUE,LOS ANGELES,90029-3708,722110,Full-service restaurants,11,5/31/2007
